# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = model_model
# start_datetime = 2026-04-03 14:38:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = player_data.json
# init = 2 (Default)
# random
#   seed = 1525752240 (Default)
# output
#   file = player_data_results.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 2
# stanc_version = stanc3 v2.38.0-77-g002979f
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,kappa,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.652234
# Diagonal elements of inverse mass matrix:
# 0.0497907, 0.360279, 0.0129089, 0.0121742, 0.00838909, 0.00641804
-1064.0882,0.84258374,0.6522339,2,3,0,1065.4825,0.30398743,55.309824,0.26387459,0.30937123,0.30007505,0.33455333
-1064.6279,0.92984228,0.6522339,3,7,0,1067.6772,0.27755802,17.141666,0.2394259,0.22576036,0.33695757,0.30399182
-1061.4232,0.98788882,0.6522339,2,7,0,1065.6074,0.25115918,16.367271,0.25991326,0.27530003,0.29377791,0.29852505
-1061.0629,0.97264104,0.6522339,3,7,0,1062.5211,0.2805509,36.401516,0.27698417,0.26800676,0.31524029,0.31412082
-1061.7731,0.91246024,0.6522339,3,7,0,1062.9917,0.26914989,23.561711,0.29364327,0.25660159,0.30896297,0.31697924
-1061.7474,0.98699167,0.6522339,3,7,0,1062.8391,0.29932944,31.600317,0.24351695,0.28026421,0.28281645,0.30260816
-1062.448,0.92234561,0.6522339,3,7,0,1063.409,0.23536997,12.983985,0.24502281,0.26876522,0.31340256,0.31949205
-1062.7023,0.95379752,0.6522339,3,7,0,1064.6954,0.3309771,45.921879,0.2880983,0.26710094,0.29391031,0.29074616
-1066.5579,0.34137211,0.6522339,3,7,0,1070.9116,0.33662382,4.6179631,0.26983225,0.31309072,0.27871128,0.31008308
-1061.4722,0.94924405,0.6522339,3,7,0,1067.5875,0.2779392,48.969302,0.28417381,0.26831364,0.29228493,0.30112097
-1065.4431,0.68835878,0.6522339,3,7,0,1069.052,0.19845409,6.8754035,0.22196526,0.2631315,0.30977906,0.28835264
-1063.3934,0.92192653,0.6522339,3,7,0,1067.3897,0.29908192,13.140745,0.31076035,0.27970764,0.29509324,0.3179244
-1062.1035,0.83612561,0.6522339,2,7,0,1068.8656,0.27733716,15.593869,0.28624036,0.24759002,0.31020586,0.29426549
-1061.958,0.86108726,0.6522339,3,7,0,1065.6027,0.28149121,33.932525,0.23318636,0.26973051,0.31739915,0.31663631
-1062.3983,0.94755096,0.6522339,3,7,0,1064.0645,0.29055231,35.100472,0.2956343,0.24949251,0.28033853,0.30587641
-1064.5215,0.72254032,0.6522339,3,7,0,1067.1397,0.33495115,17.434111,0.21848739,0.25424636,0.32381018,0.29122979
-1064.9927,0.91612636,0.6522339,3,7,0,1068.0195,0.21443113,22.01865,0.31311791,0.27639442,0.28087098,0.31454217
-1064.1579,0.95741396,0.6522339,3,7,0,1067.651,0.25184566,31.819136,0.30640481,0.29648612,0.27734882,0.3028762
-1062.9674,0.83064678,0.6522339,3,7,0,1067.6771,0.2589537,18.579053,0.2251499,0.26477481,0.30889129,0.28346408
-1062.1424,0.88403871,0.6522339,3,7,0,1068.1055,0.30974704,33.301317,0.30109351,0.25711296,0.29156165,0.31388286
-1061.9354,1,0.6522339,3,7,0,1062.6593,0.29735118,41.808753,0.2932392,0.25003465,0.29588456,0.31181967
-1061.5385,0.87456229,0.6522339,2,7,0,1064.6557,0.32447085,19.563978,0.28862289,0.26293769,0.30934012,0.30563068
-1061.3249,0.99865715,0.6522339,3,7,0,1062.0963,0.25461969,32.798938,0.24333426,0.27553988,0.29536417,0.30667084
-1066.1645,0.7670458,0.6522339,2,3,0,1066.595,0.24410246,14.660825,0.27946025,0.24888906,0.30601891,0.25265093
-1064.9276,0.97189941,0.6522339,3,7,0,1069.5928,0.239689,34.760041,0.28035266,0.27234652,0.26836532,0.33968032
-1065.3913,1,0.6522339,2,3,0,1066.3055,0.24869512,25.61958,0.28690771,0.26731257,0.27122711,0.3491781
-1062.6306,1,0.6522339,2,3,0,1066.0931,0.29527188,23.461021,0.25245115,0.26485036,0.28944761,0.34025571
-1061.8385,0.99251215,0.6522339,2,3,0,1063.1053,0.27918282,27.655311,0.26013151,0.27389743,0.3031833,0.33520774
-1063.9677,0.85062617,0.6522339,3,7,0,1065.2013,0.21478099,18.71983,0.27344804,0.29295648,0.31498582,0.2792054
-1067.5821,0.75654578,0.6522339,2,3,0,1070.4299,0.26632636,49.843028,0.22749497,0.29043322,0.27355514,0.25617415
-1062.7755,0.96529604,0.6522339,2,3,0,1068.9126,0.21227248,26.95636,0.23430804,0.26187642,0.29411298,0.29723147
-1064.0342,0.89567908,0.6522339,3,7,0,1065.9199,0.35139474,21.685287,0.25477608,0.2642094,0.26502479,0.3123869
-1062.668,0.8982227,0.6522339,3,7,0,1067.5473,0.21249716,14.145425,0.28044299,0.27692423,0.30237296,0.29810565
-1062.7191,0.89469144,0.6522339,3,7,0,1066.2297,0.34494609,38.490659,0.25607837,0.25267006,0.31271429,0.3063575
-1063.0095,0.99456363,0.6522339,3,7,0,1063.7491,0.21243826,8.4708841,0.26669408,0.27527065,0.29973798,0.30555318
-1062.2718,0.96429222,0.6522339,2,7,0,1065.1759,0.32546619,16.983065,0.23957874,0.27924937,0.3073625,0.2916988
