# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = test_model
# start_datetime = 2026-03-26 06:32:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = data.json
# init = 2 (Default)
# random
#   seed = 805450934 (Default)
# output
#   file = results.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,kappa,theta.1,theta.2,theta.3
# Adaptation terminated
# Step size = 0.550906
# Diagonal elements of inverse mass matrix:
# 0.0903216, 0.560335, 0.0143741, 0.00762163, 0.00798517
-850.49253,0.86727794,0.55090594,3,7,0,851.58675,0.42325337,14.661911,0.29158697,0.30972408,0.31536298
-850.54486,0.95119783,0.55090594,3,7,0,852.98256,0.27283287,39.788986,0.30474324,0.30441049,0.33418513
-850.18819,0.83131741,0.55090594,3,7,0,853.21129,0.40603537,19.019063,0.26871566,0.28931062,0.31717516
-849.59952,0.98930216,0.55090594,3,7,0,851.80066,0.25322766,22.549894,0.3055904,0.28913148,0.31661738
-849.47957,0.91744476,0.55090594,3,7,0,853.8363,0.29790413,16.023515,0.27535842,0.33951626,0.294456
-852.20786,0.90292493,0.55090594,3,7,0,853.95219,0.21668941,15.492807,0.28034928,0.31840914,0.35222008
-850.99771,0.9305469,0.55090594,3,7,0,855.15487,0.39937359,21.721309,0.2701913,0.28377013,0.28835599
-850.02701,0.99912952,0.55090594,3,7,0,853.26196,0.27497992,12.417204,0.29643066,0.31587869,0.27947408
-848.55589,0.99761177,0.55090594,3,7,0,850.82243,0.30386507,16.036191,0.25362587,0.32556603,0.31771086
-854.07157,0.79146797,0.55090594,2,3,0,854.25363,0.27532482,76.757752,0.23209445,0.34535886,0.31435926
-856.05556,0.99292196,0.55090594,3,7,0,859.21044,0.36033738,4.5009528,0.34520181,0.29243886,0.28043337
-849.01624,1,0.55090594,3,7,0,856.84005,0.28219481,18.41879,0.27495211,0.3298045,0.32491647
-848.10799,0.99987285,0.55090594,3,7,0,849.65852,0.29111154,28.778336,0.27645467,0.28310951,0.30705284
-849.79574,0.86885792,0.55090594,3,7,0,851.36231,0.25321111,11.80969,0.25047247,0.33761657,0.31424583
-850.51306,0.97373215,0.55090594,3,7,0,852.59798,0.24290327,35.916713,0.21820966,0.30040537,0.28462201
-849.93502,0.90851064,0.55090594,3,7,0,853.67557,0.34331222,11.266881,0.27535261,0.33701237,0.31962268
-853.06182,0.89355192,0.55090594,3,7,0,855.08498,0.27316251,2.9647886,0.29996358,0.29132025,0.33420773
-854.24006,0.97577238,0.55090594,3,7,0,857.39604,0.090289003,10.150207,0.2477061,0.31662389,0.2964668
-855.17089,0.88295192,0.55090594,3,7,0,857.57456,0.52038874,13.112762,0.29411805,0.29095023,0.33019413
-854.15018,0.90456231,0.55090594,3,7,0,858.41947,0.4993093,16.749458,0.26415559,0.29618151,0.3231587
-850.43892,1,0.55090594,2,3,0,853.79044,0.43260175,13.008887,0.27058696,0.30120658,0.31675647
-851.15792,0.91765555,0.55090594,3,7,0,855.33599,0.24932757,16.042453,0.26783092,0.33615557,0.34238476
-851.71413,0.95654312,0.55090594,3,7,0,854.6209,0.17912743,7.7261086,0.24165284,0.27990058,0.27892812
-849.45939,0.97956631,0.55090594,3,7,0,853.91854,0.29563662,26.94545,0.3112938,0.31802639,0.31140977
-853.19541,0.65766579,0.55090594,3,7,0,858.27844,0.22381797,3.1630335,0.23722283,0.26561612,0.30306698
-850.98057,0.98119175,0.55090594,3,7,0,855.70426,0.39057929,25.808848,0.29221326,0.33936183,0.30888221
-850.14365,0.94179127,0.55090594,3,7,0,853.67013,0.21468174,22.970004,0.23536306,0.27182326,0.29734357
-851.3936,0.84998422,0.55090594,3,7,0,854.06569,0.39885508,9.2113734,0.29733994,0.32848345,0.32711518
-849.83349,0.97327933,0.55090594,3,7,0,853.90655,0.22591945,33.138662,0.24976423,0.28802674,0.27704143
-851.12103,0.86760426,0.55090594,3,7,0,855.915,0.27112387,15.302554,0.25510141,0.30689301,0.35522476
-850.7849,0.9576486,0.55090594,3,7,0,853.86291,0.26461572,26.236304,0.30209738,0.32094547,0.27283845
-851.93738,0.98057523,0.55090594,3,7,0,853.18792,0.25979824,10.716623,0.2193993,0.28769857,0.34159579
-850.71793,0.99903812,0.55090594,3,7,0,855.01382,0.33458094,32.678192,0.26697275,0.35053602,0.29523264
-848.42627,0.97816683,0.55090594,3,7,0,851.76721,0.30858611,15.381649,0.26122196,0.32680837,0.31068867
-848.60398,0.99541274,0.55090594,3,7,0,849.18692,0.31882412,11.973286,0.24696083,0.31455164,0.29954086
-847.6428,0.9625851,0.55090594,3,7,0,850.27417,0.27341004,32.096898,0.2679318,0.30560832,0.3032555
-849.74273,0.6855322,0.55090594,3,7,0,856.21853,0.28091399,4.9214089,0.25767525,0.2991733,0.31401408
-848.99715,0.97248891,0.55090594,3,7,0,850.70187,0.28190788,46.772673,0.26515919,0.29769639,0.32892309
-849.75493,0.92461922,0.55090594,3,7,0,850.19364,0.33496798,7.026342,0.28302072,0.31199095,0.29147384
-851.1805,0.89588552,0.55090594,2,3,0,853.49031,0.43283006,8.8298338,0.28008026,0.31428602,0.28747267
