# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = model_model
# start_datetime = 2026-04-03 15:16:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = player_data.json
# init = 2 (Default)
# random
#   seed = 1528040919 (Default)
# output
#   file = model_results.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0-77-g002979f
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,kappa,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.557611
# Diagonal elements of inverse mass matrix:
# 0.0565113, 0.384185, 0.0144178, 0.013505, 0.00885706, 0.0083596
-1063.9424,0.97412306,0.55761147,3,7,0,1065.4353,0.33173764,18.663303,0.29677354,0.29334939,0.29751246,0.27620811
-1063.0198,0.94723557,0.55761147,3,7,0,1067.602,0.2599351,27.077106,0.2726236,0.2362492,0.27957033,0.32551484
-1060.9121,0.99253382,0.55761147,3,7,0,1063.8993,0.29351139,32.039122,0.25141401,0.27238488,0.31216386,0.29934278
-1064.8864,0.8011789,0.55761147,2,3,0,1065.3398,0.25708956,15.120393,0.20888173,0.25370568,0.32694446,0.29654384
-1061.389,1,0.55761147,2,3,0,1065.2717,0.30115651,31.298382,0.24132378,0.26111477,0.31199024,0.30058109
-1061.3897,0.92725913,0.55761147,3,7,0,1064.4075,0.27808921,23.555979,0.2875385,0.27920439,0.29298037,0.29775861
-1062.1396,0.95213246,0.55761147,3,7,0,1062.7153,0.32993918,18.330345,0.2381188,0.25773012,0.31031048,0.31094818
-1063.0167,0.92079921,0.55761147,3,7,0,1064.704,0.25596436,41.488129,0.28780746,0.29786833,0.30389634,0.31813719
-1061.3567,1,0.55761147,3,7,0,1063.6027,0.30495173,22.582582,0.25630321,0.2837344,0.30929441,0.32170379
-1061.8161,0.93205254,0.55761147,3,7,0,1064.0714,0.29450318,36.772111,0.28386328,0.25435833,0.29845417,0.28501762
-1061.9534,0.98465136,0.55761147,3,7,0,1062.6284,0.28022707,19.067974,0.24567363,0.27932566,0.31293488,0.32701441
-1061.7871,0.91222011,0.55761147,3,7,0,1065.456,0.31359887,38.194931,0.28217067,0.29330503,0.3178484,0.30739652
-1064.138,0.686245,0.55761147,3,7,0,1067.6935,0.29648714,8.6869093,0.23509784,0.23635695,0.28845493,0.30519848
-1063.335,0.98441438,0.55761147,3,7,0,1066.1379,0.26757921,54.579826,0.28479246,0.29207517,0.32636919,0.30547959
-1062.6939,0.98900971,0.55761147,3,7,0,1065.8567,0.2882595,12.02242,0.2776209,0.25680567,0.27583949,0.30405788
-1063.7277,0.92052358,0.55761147,3,7,0,1066.4747,0.35118889,30.162332,0.26639256,0.2399762,0.29715239,0.28835891
-1064.352,0.6026548,0.55761147,3,7,0,1068.5571,0.18671401,15.051662,0.293085,0.28255868,0.30882502,0.30543288
-1063.9874,0.98409921,0.55761147,3,7,0,1067.0397,0.20385864,8.4213985,0.24541085,0.27592488,0.28044468,0.3061
-1063.0069,0.97110162,0.55761147,3,7,0,1066.0769,0.3275529,18.686048,0.22731435,0.27779435,0.29958243,0.2911282
-1062.9732,0.9759292,0.55761147,3,7,0,1063.9874,0.24320271,29.688922,0.30018352,0.25388764,0.30220393,0.32220706
-1067.6724,0.58859397,0.55761147,3,7,0,1072.6421,0.36161981,15.400407,0.22381109,0.2722327,0.329981,0.26158452
-1068.1896,1,0.55761147,3,7,0,1070.0105,0.40316748,11.242363,0.23335687,0.27053802,0.32720467,0.26167343
-1069.3744,0.99638679,0.55761147,3,7,0,1071.8965,0.39178126,4.6374815,0.27954271,0.2800068,0.27295728,0.35763855
-1067.2062,0.9805103,0.55761147,3,7,0,1071.944,0.26287916,26.705909,0.25204392,0.25637522,0.34659801,0.25419265
-1063.0012,0.98975532,0.55761147,3,7,0,1069.5689,0.27757346,17.996461,0.30257488,0.27985917,0.2904001,0.32672576
-1063.9139,0.9336768,0.55761147,3,7,0,1066.1964,0.34028236,15.515733,0.26543524,0.29587319,0.26875871,0.30056031
-1064.1891,0.97986259,0.55761147,2,7,0,1064.6547,0.36016806,16.83784,0.26402698,0.28788287,0.26720762,0.30065036
-1061.8141,1,0.55761147,3,7,0,1064.9229,0.2882791,35.78181,0.25549363,0.28822271,0.27859493,0.30674527
-1064.7666,0.65830316,0.55761147,2,3,0,1070.2379,0.26042711,46.977037,0.2764772,0.29180204,0.26160668,0.28158416
-1066.6087,0.86326837,0.55761147,2,3,0,1068.327,0.29888015,58.292184,0.26034615,0.29665622,0.25457805,0.2803578
-1061.6742,1,0.55761147,2,3,0,1067.0274,0.23765806,22.849211,0.27758264,0.25549483,0.2951185,0.29511802
-1062.0897,0.96500484,0.55761147,3,7,0,1063.237,0.32128057,34.225651,0.24845991,0.26484697,0.30019982,0.32871251
-1062.0706,0.96935964,0.55761147,3,7,0,1064.339,0.34027674,20.639552,0.26281613,0.27841511,0.29751133,0.32791046
-1062.772,0.95345596,0.55761147,3,7,0,1063.9786,0.2318881,34.247231,0.25852415,0.25980759,0.31014297,0.27654855
-1063.2752,0.9541969,0.55761147,2,7,0,1063.858,0.22047452,38.490647,0.26430936,0.26544314,0.3151224,0.28263325
-1063.581,0.88762291,0.55761147,3,7,0,1065.8534,0.37313681,11.850773,0.24815243,0.26231646,0.28294137,0.3023162
-1063.1278,0.98467175,0.55761147,3,7,0,1065.5813,0.24624621,49.592035,0.27857919,0.26303741,0.32411395,0.31479746
-1063.801,0.97946987,0.55761147,3,7,0,1066.4414,0.32102236,13.01776,0.25162651,0.25612374,0.29780376,0.27074309
-1062.512,0.99255189,0.55761147,3,7,0,1065.6979,0.27924785,33.00207,0.27717371,0.28906972,0.29910007,0.33629462
-1061.5706,0.99001503,0.55761147,3,7,0,1063.3755,0.33170388,31.517918,0.25165264,0.27575424,0.29794897,0.310334
-1061.1431,1,0.55761147,3,7,0,1062.2335,0.25903808,33.05529,0.26718264,0.2656509,0.30427546,0.28899875
-1061.9643,0.8203669,0.55761147,2,7,0,1064.4405,0.29002532,28.041077,0.25783354,0.24651476,0.28775332,0.28601534
-1062.8041,0.9737354,0.55761147,3,7,0,1063.7577,0.36158034,16.025749,0.25714355,0.29467028,0.30693455,0.29707131
-1061.6402,0.99874281,0.55761147,3,7,0,1063.3013,0.33002182,16.036161,0.25876797,0.26190813,0.30007143,0.29653161
-1063.6284,0.93591395,0.55761147,3,7,0,1064.648,0.32147086,18.460885,0.22454988,0.29841806,0.30810274,0.2953467
-1063.11,0.99186326,0.55761147,3,7,0,1066.0641,0.25617779,33.044182,0.26996037,0.24754144,0.28227059,0.33552789
-1063.0888,0.93273222,0.55761147,3,7,0,1065.4922,0.27914477,16.527132,0.26994084,0.24184039,0.28717586,0.33425469
-1061.237,0.99706691,0.55761147,3,7,0,1064.1262,0.28112931,40.625652,0.26223972,0.28147674,0.30386336,0.28965999
-1065.7229,0.65033669,0.55761147,3,7,0,1068.9645,0.36010141,4.9654515,0.24200885,0.30638023,0.31015896,0.31083063
-1068.1266,0.89602977,0.55761147,2,3,0,1069.297,0.3635699,4.0153122,0.23531712,0.32289811,0.29373585,0.31696213
-1064.398,1,0.55761147,2,3,0,1068.5265,0.35649897,5.3566665,0.24735122,0.27845047,0.31176547,0.32127036
-1061.5042,0.93919571,0.55761147,3,7,0,1067.2777,0.27916723,43.319214,0.25852911,0.27257032,0.28322394,0.31613006
-1061.8686,0.79790723,0.55761147,3,7,0,1065.0981,0.30469646,23.535047,0.25214215,0.24452689,0.32143656,0.3091624
-1061.9984,0.93667148,0.55761147,3,7,0,1064.3272,0.2731466,16.674301,0.282512,0.29154432,0.29072414,0.30644036
-1065.2552,0.93684236,0.55761147,3,7,0,1066.2977,0.36338462,60.076324,0.28123554,0.30377194,0.31165314,0.31562311
-1064.6107,0.97137643,0.55761147,3,7,0,1067.5226,0.18665409,10.959729,0.24582787,0.23869764,0.30057015,0.28485286
-1061.7682,0.99603568,0.55761147,3,7,0,1065.1623,0.3192395,47.681534,0.25633789,0.2710699,0.2953859,0.30895957
-1062.8728,0.58978314,0.55761147,3,7,0,1065.9157,0.26527481,58.82627,0.24819295,0.27414535,0.2741785,0.29936251
-1064.327,0.92491873,0.55761147,3,7,0,1066.8993,0.3253915,21.956188,0.28232584,0.31958771,0.30400134,0.33251455
-1064.002,0.99397775,0.55761147,3,7,0,1066.9558,0.30319363,14.055753,0.24711956,0.28482454,0.29481507,0.3462709
-1064.0706,0.97008361,0.55761147,3,7,0,1065.8767,0.26326762,41.647772,0.27110562,0.24388747,0.29810778,0.26354876
-1061.9958,0.99451628,0.55761147,3,7,0,1064.9759,0.26785303,16.904302,0.24439162,0.27547933,0.31467566,0.32373471
-1062.3063,0.89784363,0.55761147,3,7,0,1066.6573,0.29732857,26.542199,0.30235982,0.26307409,0.28673758,0.29311634
-1062.4073,0.97635284,0.55761147,3,7,0,1063.9296,0.3295524,35.004727,0.27839569,0.25599505,0.28351714,0.3196497
-1061.2645,0.95154891,0.55761147,2,3,0,1063.186,0.30365267,23.384451,0.28239012,0.26040804,0.29440967,0.31739529
-1061.8207,0.90144951,0.55761147,3,7,0,1064.477,0.23678263,24.388101,0.24882515,0.28546698,0.30838049,0.30384418
-1062.9057,0.8617797,0.55761147,3,7,0,1065.6362,0.31079234,7.2001188,0.27254064,0.25488992,0.3005759,0.30128162
-1064.7966,0.90746395,0.55761147,3,7,0,1066.8734,0.3192198,5.6776289,0.2602705,0.22946706,0.30778498,0.30364312
-1063.2722,0.97086875,0.55761147,3,7,0,1065.9863,0.28446643,73.789552,0.26812719,0.29845519,0.30049081,0.31147017
-1063.436,0.99710506,0.55761147,3,7,0,1065.2317,0.29694355,11.836032,0.25042313,0.2277923,0.29875778,0.2997653
-1063.7694,0.8746984,0.55761147,3,7,0,1070.2025,0.251367,54.215705,0.2894375,0.29783206,0.28961816,0.29941227
-1063.5964,1,0.55761147,3,7,0,1065.1591,0.28054548,7.5943054,0.23725899,0.24393812,0.30141788,0.30941969
-1061.4932,0.96197816,0.55761147,3,7,0,1066.0593,0.30254617,45.776893,0.26908695,0.29136562,0.31040717,0.30950028
-1062.0038,0.8200991,0.55761147,3,7,0,1065.9758,0.30853489,13.169281,0.28256878,0.24965695,0.30683421,0.30470576
-1062.1204,0.98098282,0.55761147,3,7,0,1063.2215,0.26756338,51.327507,0.24328127,0.28827488,0.30137749,0.30109889
-1062.6887,0.85550917,0.55761147,3,7,0,1067.1227,0.27689103,9.0435735,0.28139684,0.25972026,0.30369659,0.32126645
-1062.2394,1,0.55761147,3,7,0,1063.2685,0.26765769,52.735111,0.24179617,0.27488127,0.29957107,0.28721127
-1063.0659,0.80787578,0.55761147,3,7,0,1066.4653,0.26709487,31.610463,0.26201589,0.2320069,0.27821225,0.28828382
-1064.4299,0.93032564,0.55761147,3,7,0,1066.0183,0.24226661,12.598563,0.28743229,0.29828613,0.31421651,0.33369106
-1063.821,0.98204759,0.55761147,3,7,0,1066.3397,0.30957354,32.392332,0.2298915,0.24009692,0.2959499,0.28470051
-1061.1177,0.9881787,0.55761147,2,7,0,1064.702,0.25491558,21.9736,0.26390654,0.26803713,0.29266625,0.31465301
-1062.3785,0.93337199,0.55761147,2,3,0,1062.7618,0.33445255,28.284177,0.26350244,0.2429625,0.30049523,0.32077598
-1062.0879,0.99334523,0.55761147,3,7,0,1064.5919,0.26682403,18.178579,0.28149344,0.29484031,0.31159909,0.29769708
-1062.5146,0.99105363,0.55761147,3,7,0,1063.2366,0.29489911,50.857247,0.25829879,0.23839678,0.29293272,0.3005428
-1060.8725,0.94912787,0.55761147,2,3,0,1063.2245,0.26094675,22.472314,0.25511458,0.25980504,0.30094509,0.3052562
-1062.4548,0.8066825,0.55761147,2,7,0,1065.6899,0.24643313,11.872027,0.2514548,0.27130778,0.31935131,0.29172943
-1062.1506,0.98744807,0.55761147,3,7,0,1063.3239,0.31224272,56.884124,0.27205777,0.25673603,0.30113916,0.31563493
-1063.3079,0.86836802,0.55761147,3,7,0,1066.0794,0.2522141,23.935264,0.23249016,0.255267,0.33525449,0.3149116
-1064.9124,0.93938458,0.55761147,3,7,0,1066.9276,0.27399662,14.085652,0.22135991,0.26178779,0.26285685,0.30945546
-1067.1539,0.87367107,0.55761147,3,7,0,1071.6301,0.32276985,33.95609,0.25603516,0.29724979,0.27161575,0.36061333
-1065.4891,1,0.55761147,3,7,0,1068.9845,0.21319356,22.892704,0.28838597,0.25555234,0.32412721,0.26633405
-1065.9571,0.91258247,0.55761147,3,7,0,1070.2003,0.34651537,16.900113,0.23678358,0.27674807,0.26351867,0.3380598
-1064.0604,0.99372905,0.55761147,3,7,0,1067.0625,0.27946067,17.956115,0.29448924,0.23845416,0.33042646,0.28391191
-1063.9026,0.96594093,0.55761147,3,7,0,1067.4425,0.32559735,40.713586,0.22890923,0.29797792,0.31260738,0.29457908
-1064.3957,0.89042066,0.55761147,3,7,0,1067.1065,0.22718656,9.3169996,0.3030116,0.24354707,0.30657485,0.31441987
-1067.589,0.88171208,0.55761147,3,7,0,1070.417,0.30602402,7.5599851,0.28657415,0.25195139,0.33586501,0.35626709
-1067.7381,0.9893098,0.55761147,3,7,0,1071.2704,0.36944061,15.680433,0.22155429,0.30955702,0.29451718,0.2708857
